type,protein
Mating and sporulation defects,YKR031C
Mating and sporulation defects,YKR082W
Mating and sporulation defects,YLL001W
Mating and sporulation defects,YLL021W
Mating and sporulation defects,YLL039C
Mating and sporulation defects,YLL040C
Mating and sporulation defects,YLR025W
Mating and sporulation defects,YLR055C
Mating and sporulation defects,YLR127C
Mating and sporulation defects,YLR148W
Mating and sporulation defects,YLR195C
Mating and sporulation defects,YLR229C
Mating and sporulation defects,YLR234W
Mating and sporulation defects,YLR263W
Mating and sporulation defects,YLR292C
Mating and sporulation defects,YLR310C
Mating and sporulation defects,YLR313C
Mating and sporulation defects,YLR332W
Mating and sporulation defects,YLR362W
Mating and sporulation defects,YLR371W
Mating and sporulation defects,YLR418C
Mating and sporulation defects,YLR433C
Mating and sporulation defects,YLR452C
Mating and sporulation defects,YML057W
Mating and sporulation defects,YML115C
Mating and sporulation defects,YML124C
Mating and sporulation defects,YMR065W
Mating and sporulation defects,YMR096W
Mating and sporulation defects,YMR139W
Mating and sporulation defects,YMR154C
Mating and sporulation defects,YMR167W
Mating and sporulation defects,YMR231W
Mating and sporulation defects,YMR263W
Mating and sporulation defects,YNL001W
Mating and sporulation defects,YNL027W
Mating and sporulation defects,YNL053W
Mating and sporulation defects,YNL079C
Mating and sporulation defects,YNL084C
Mating and sporulation defects,YNL098C
Mating and sporulation defects,YNL153C
Mating and sporulation defects,YNL192W
Mating and sporulation defects,YNL223W
Mating and sporulation defects,YNL225C
Mating and sporulation defects,YNL238W
Mating and sporulation defects,YNL250W
Mating and sporulation defects,YNL271C
Mating and sporulation defects,YNL291C
Mating and sporulation defects,YNL325C
Mating and sporulation defects,YNL330C
Mating and sporulation defects,YNR007C
Mating and sporulation defects,YNR019W
Mating and sporulation defects,YNR052C
Mating and sporulation defects,YOL004W
Mating and sporulation defects,YOL051W
Mating and sporulation defects,YOL081W
Mating and sporulation defects,YOL091W
Mating and sporulation defects,YOL104C
Mating and sporulation defects,YOL139C
Mating and sporulation defects,YOL145C
Mating and sporulation defects,YOL148C
Mating and sporulation defects,YOR005C
Mating and sporulation defects,YOR035C
Mating and sporulation defects,YOR036W
Mating and sporulation defects,YOR075W
Mating and sporulation defects,YOR212W
Mating and sporulation defects,YOR254C
Mating and sporulation defects,YOR298W
Mating and sporulation defects,YOR344C
Mating and sporulation defects,YOR351C
Mating and sporulation defects,YOR361C
Mating and sporulation defects,YPL002C
Mating and sporulation defects,YPL031C
Mating and sporulation defects,YPL045W
Mating and sporulation defects,YPL082C
Mating and sporulation defects,YPL129W
Mating and sporulation defects,YPR054W
Mating and sporulation defects,YPR103W
Mating and sporulation defects,YPR113W
Mating and sporulation defects,YPR120C
Mating and sporulation defects,YPR122W
Mating and sporulation defects,YPR165W
Mating and sporulation defects,YPR173C
Mating and sporulation defects,YPR198W
Mating and sporulation defects,YCR028C-A
"Auxotrophies, carbon and nitrogen utilization defects",Q0250
"Auxotrophies, carbon and nitrogen utilization defects",YAL013W
"Auxotrophies, carbon and nitrogen utilization defects",YAL021C
"Auxotrophies, carbon and nitrogen utilization defects",YBL002W
"Auxotrophies, carbon and nitrogen utilization defects",YBL003C
"Auxotrophies, carbon and nitrogen utilization defects",YBL022C
"Auxotrophies, carbon and nitrogen utilization defects",YBL030C
"Auxotrophies, carbon and nitrogen utilization defects",YBL058W
"Auxotrophies, carbon and nitrogen utilization defects",YBL080C
"Auxotrophies, carbon and nitrogen utilization defects",YBL099W
"Auxotrophies, carbon and nitrogen utilization defects",YBR009C
"Auxotrophies, carbon and nitrogen utilization defects",YBR010W
"Auxotrophies, carbon and nitrogen utilization defects",YBR037C
"Auxotrophies, carbon and nitrogen utilization defects",YBR039W
"Auxotrophies, carbon and nitrogen utilization defects",YBR044C
"Auxotrophies, carbon and nitrogen utilization defects",YBR081C
"Auxotrophies, carbon and nitrogen utilization defects",YBR106W
"Auxotrophies, carbon and nitrogen utilization defects",YBR126C
"Auxotrophies, carbon and nitrogen utilization defects",YBR127C
"Auxotrophies, carbon and nitrogen utilization defects",YBR132C
"Auxotrophies, carbon and nitrogen utilization defects",YBR143C
"Auxotrophies, carbon and nitrogen utilization defects",YBR146W
"Auxotrophies, carbon and nitrogen utilization defects",YBR179C
"Auxotrophies, carbon and nitrogen utilization defects",YBR185C
"Auxotrophies, carbon and nitrogen utilization defects",YBR192W
"Auxotrophies, carbon and nitrogen utilization defects",YBR196C
"Auxotrophies, carbon and nitrogen utilization defects",YBR256C
"Auxotrophies, carbon and nitrogen utilization defects",YBR290W
"Auxotrophies, carbon and nitrogen utilization defects",YBR294W
"Auxotrophies, carbon and nitrogen utilization defects",YCR003W
"Auxotrophies, carbon and nitrogen utilization defects",YCR005C
"Auxotrophies, carbon and nitrogen utilization defects",YCR009C
"Auxotrophies, carbon and nitrogen utilization defects",YCR020C
"Auxotrophies, carbon and nitrogen utilization defects",YCR024C
"Auxotrophies, carbon and nitrogen utilization defects",YCR046C
"Auxotrophies, carbon and nitrogen utilization defects",YCR071C
"Auxotrophies, carbon and nitrogen utilization defects",YDL004W
"Auxotrophies, carbon and nitrogen utilization defects",YDL005C
"Auxotrophies, carbon and nitrogen utilization defects",YDL006W
"Auxotrophies, carbon and nitrogen utilization defects",YDL120W
"Auxotrophies, carbon and nitrogen utilization defects",YDL194W
"Auxotrophies, carbon and nitrogen utilization defects",YDL202W
"Auxotrophies, carbon and nitrogen utilization defects",YDL212W
"Auxotrophies, carbon and nitrogen utilization defects",YDL215C
"Auxotrophies, carbon and nitrogen utilization defects",YDR009W
"Auxotrophies, carbon and nitrogen utilization defects",YDR028C
"Auxotrophies, carbon and nitrogen utilization defects",YDR034C
"Auxotrophies, carbon and nitrogen utilization defects",YDR079W
"Auxotrophies, carbon and nitrogen utilization defects",YDR081C
"Auxotrophies, carbon and nitrogen utilization defects",YDR138W
"Auxotrophies, carbon and nitrogen utilization defects",YDR172W
"Auxotrophies, carbon and nitrogen utilization defects",YDR178W
"Auxotrophies, carbon and nitrogen utilization defects",YDR225W
"Auxotrophies, carbon and nitrogen utilization defects",YDR226W
"Auxotrophies, carbon and nitrogen utilization defects",YDR277C
"Auxotrophies, carbon and nitrogen utilization defects",YDR298C
"Auxotrophies, carbon and nitrogen utilization defects",YDR337W
"Auxotrophies, carbon and nitrogen utilization defects",YDR342C
"Auxotrophies, carbon and nitrogen utilization defects",YDR343C
"Auxotrophies, carbon and nitrogen utilization defects",YDR345C
"Auxotrophies, carbon and nitrogen utilization defects",YDR347W
"Auxotrophies, carbon and nitrogen utilization defects",YDR375C
"Auxotrophies, carbon and nitrogen utilization defects",YDR376W
"Auxotrophies, carbon and nitrogen utilization defects",YDR377W
"Auxotrophies, carbon and nitrogen utilization defects",YDR405W
"Auxotrophies, carbon and nitrogen utilization defects",YDR456W
"Auxotrophies, carbon and nitrogen utilization defects",YDR477W
"Auxotrophies, carbon and nitrogen utilization defects",YDR529C
"Auxotrophies, carbon and nitrogen utilization defects",YEL024W
"Auxotrophies, carbon and nitrogen utilization defects",YEL027W
"Auxotrophies, carbon and nitrogen utilization defects",YEL046C
"Auxotrophies, carbon and nitrogen utilization defects",YEL050C
"Auxotrophies, carbon and nitrogen utilization defects",YER003C
"Auxotrophies, carbon and nitrogen utilization defects",YER008C
"Auxotrophies, carbon and nitrogen utilization defects",YER014W
"Auxotrophies, carbon and nitrogen utilization defects",YER015W
"Auxotrophies, carbon and nitrogen utilization defects",YER017C
"Auxotrophies, carbon and nitrogen utilization defects",YER026C
"Auxotrophies, carbon and nitrogen utilization defects",YER058W
"Auxotrophies, carbon and nitrogen utilization defects",YER065C
"Auxotrophies, carbon and nitrogen utilization defects",YER091C
"Auxotrophies, carbon and nitrogen utilization defects",YER120W
"Auxotrophies, carbon and nitrogen utilization defects",YER133W
"Auxotrophies, carbon and nitrogen utilization defects",YER141W
"Auxotrophies, carbon and nitrogen utilization defects",YER153C
"Auxotrophies, carbon and nitrogen utilization defects",YER154W
"Auxotrophies, carbon and nitrogen utilization defects",YER178W
"Auxotrophies, carbon and nitrogen utilization defects",YFL016C
"Auxotrophies, carbon and nitrogen utilization defects",YFL031W
"Auxotrophies, carbon and nitrogen utilization defects",YFR033C
"Auxotrophies, carbon and nitrogen utilization defects",YGL018C
"Auxotrophies, carbon and nitrogen utilization defects",YGL035C
"Auxotrophies, carbon and nitrogen utilization defects",YGL040C
"Auxotrophies, carbon and nitrogen utilization defects",YGL115W
"Auxotrophies, carbon and nitrogen utilization defects",YGL119W
"Auxotrophies, carbon and nitrogen utilization defects",YGL125W
"Auxotrophies, carbon and nitrogen utilization defects",YGL167C
"Auxotrophies, carbon and nitrogen utilization defects",YGL191W
"Auxotrophies, carbon and nitrogen utilization defects",YGL252C
"Auxotrophies, carbon and nitrogen utilization defects",YGR061C
"Auxotrophies, carbon and nitrogen utilization defects",YGR062C
"Auxotrophies, carbon and nitrogen utilization defects",YGR094W
"Auxotrophies, carbon and nitrogen utilization defects",YGR112W
"Auxotrophies, carbon and nitrogen utilization defects",YGR155W
"Auxotrophies, carbon and nitrogen utilization defects",YGR171C
"Auxotrophies, carbon and nitrogen utilization defects",YGR174C
"Auxotrophies, carbon and nitrogen utilization defects",YGR180C
"Auxotrophies, carbon and nitrogen utilization defects",YGR183C
"Auxotrophies, carbon and nitrogen utilization defects",YGR222W
"Auxotrophies, carbon and nitrogen utilization defects",YGR244C
"Auxotrophies, carbon and nitrogen utilization defects",YHL038C
"Auxotrophies, carbon and nitrogen utilization defects",YHR030C
"Auxotrophies, carbon and nitrogen utilization defects",YHR038W
"Auxotrophies, carbon and nitrogen utilization defects",YHR047C
"Auxotrophies, carbon and nitrogen utilization defects",YHR060W
"Auxotrophies, carbon and nitrogen utilization defects",YHR120W
"Auxotrophies, carbon and nitrogen utilization defects",YHR147C
"Auxotrophies, carbon and nitrogen utilization defects",YHR193C
"Auxotrophies, carbon and nitrogen utilization defects",YIL033C
"Auxotrophies, carbon and nitrogen utilization defects",YIL051C
"Auxotrophies, carbon and nitrogen utilization defects",YIL126W
"Auxotrophies, carbon and nitrogen utilization defects",YIL128W
"Auxotrophies, carbon and nitrogen utilization defects",YIL162W
"Auxotrophies, carbon and nitrogen utilization defects",YIR017C
"Auxotrophies, carbon and nitrogen utilization defects",YIR021W
"Auxotrophies, carbon and nitrogen utilization defects",YJL005W
"Auxotrophies, carbon and nitrogen utilization defects",YJL023C
"Auxotrophies, carbon and nitrogen utilization defects",YJL063C
"Auxotrophies, carbon and nitrogen utilization defects",YJL087C
"Auxotrophies, carbon and nitrogen utilization defects",YJL095W
"Auxotrophies, carbon and nitrogen utilization defects",YJL208C
"Auxotrophies, carbon and nitrogen utilization defects",YJL209W
"Auxotrophies, carbon and nitrogen utilization defects",YJR025C
"Auxotrophies, carbon and nitrogen utilization defects",YJR034W
"Auxotrophies, carbon and nitrogen utilization defects",YJR040W
"Auxotrophies, carbon and nitrogen utilization defects",YJR060W
"Auxotrophies, carbon and nitrogen utilization defects",YJR122W
"Auxotrophies, carbon and nitrogen utilization defects",YKL011C
"Auxotrophies, carbon and nitrogen utilization defects",YKL032C
"Auxotrophies, carbon and nitrogen utilization defects",YKL055C
"Auxotrophies, carbon and nitrogen utilization defects",YKL085W
"Auxotrophies, carbon and nitrogen utilization defects",YKL087C
"Auxotrophies, carbon and nitrogen utilization defects",YKL093W
"Auxotrophies, carbon and nitrogen utilization defects",YKL109W
"Auxotrophies, carbon and nitrogen utilization defects",YKL134C
"Auxotrophies, carbon and nitrogen utilization defects",YKL148C
"Auxotrophies, carbon and nitrogen utilization defects",YKL154W
"Auxotrophies, carbon and nitrogen utilization defects",YKL167C
"Auxotrophies, carbon and nitrogen utilization defects",YKL192C
"Auxotrophies, carbon and nitrogen utilization defects",YKL208W
"Auxotrophies, carbon and nitrogen utilization defects",YKL212W
"Auxotrophies, carbon and nitrogen utilization defects",YKR031C
"Auxotrophies, carbon and nitrogen utilization defects",YLL006W
"Auxotrophies, carbon and nitrogen utilization defects",YLL009C
"Auxotrophies, carbon and nitrogen utilization defects",YLL041C
"Auxotrophies, carbon and nitrogen utilization defects",YLR025W
"Auxotrophies, carbon and nitrogen utilization defects",YLR038C
"Auxotrophies, carbon and nitrogen utilization defects",YLR067C
"Auxotrophies, carbon and nitrogen utilization defects",YLR071C
"Auxotrophies, carbon and nitrogen utilization defects",YLR139C
"Auxotrophies, carbon and nitrogen utilization defects",YLR150W
"Auxotrophies, carbon and nitrogen utilization defects",YLR295C
"Auxotrophies, carbon and nitrogen utilization defects",YLR304C
"Auxotrophies, carbon and nitrogen utilization defects",YLR355C
"Auxotrophies, carbon and nitrogen utilization defects",YLR359W
"Auxotrophies, carbon and nitrogen utilization defects",YLR369W
"Auxotrophies, carbon and nitrogen utilization defects",YLR377C
"Auxotrophies, carbon and nitrogen utilization defects",YLR382C
"Auxotrophies, carbon and nitrogen utilization defects",YLR396C
"Auxotrophies, carbon and nitrogen utilization defects",YLR399C
"Auxotrophies, carbon and nitrogen utilization defects",YLR439W
"Auxotrophies, carbon and nitrogen utilization defects",YML048W
"Auxotrophies, carbon and nitrogen utilization defects",YML078W
"Auxotrophies, carbon and nitrogen utilization defects",YML091C
"Auxotrophies, carbon and nitrogen utilization defects",YML105C
"Auxotrophies, carbon and nitrogen utilization defects",YML110C
"Auxotrophies, carbon and nitrogen utilization defects",YML129C
"Auxotrophies, carbon and nitrogen utilization defects",YMR021C
"Auxotrophies, carbon and nitrogen utilization defects",YMR038C
"Auxotrophies, carbon and nitrogen utilization defects",YMR039C
"Auxotrophies, carbon and nitrogen utilization defects",YMR060C
"Auxotrophies, carbon and nitrogen utilization defects",YMR072W
"Auxotrophies, carbon and nitrogen utilization defects",YMR089C
"Auxotrophies, carbon and nitrogen utilization defects",YMR145C
"Auxotrophies, carbon and nitrogen utilization defects",YMR152W
"Auxotrophies, carbon and nitrogen utilization defects",YMR164C
"Auxotrophies, carbon and nitrogen utilization defects",YMR165C
"Auxotrophies, carbon and nitrogen utilization defects",YMR228W
"Auxotrophies, carbon and nitrogen utilization defects",YMR241W
"Auxotrophies, carbon and nitrogen utilization defects",YMR256C
"Auxotrophies, carbon and nitrogen utilization defects",YMR257C
"Auxotrophies, carbon and nitrogen utilization defects",YMR280C
"Auxotrophies, carbon and nitrogen utilization defects",YMR282C
"Auxotrophies, carbon and nitrogen utilization defects",YMR287C
"Auxotrophies, carbon and nitrogen utilization defects",YMR301C
"Auxotrophies, carbon and nitrogen utilization defects",YNL003C
"Auxotrophies, carbon and nitrogen utilization defects",YNL005C
"Auxotrophies, carbon and nitrogen utilization defects",YNL025C
"Auxotrophies, carbon and nitrogen utilization defects",YNL037C
"Auxotrophies, carbon and nitrogen utilization defects",YNL055C
"Auxotrophies, carbon and nitrogen utilization defects",YNL098C
"Auxotrophies, carbon and nitrogen utilization defects",YNL103W
"Auxotrophies, carbon and nitrogen utilization defects",YNL137C
"Auxotrophies, carbon and nitrogen utilization defects",YNL201C
"Auxotrophies, carbon and nitrogen utilization defects",YNL241C
"Auxotrophies, carbon and nitrogen utilization defects",YNR001C
"Auxotrophies, carbon and nitrogen utilization defects",YNR023W
"Auxotrophies, carbon and nitrogen utilization defects",YNR033W
"Auxotrophies, carbon and nitrogen utilization defects",YNR045W
"Auxotrophies, carbon and nitrogen utilization defects",YNR052C
"Auxotrophies, carbon and nitrogen utilization defects",YOL001W
"Auxotrophies, carbon and nitrogen utilization defects",YOL025W
"Auxotrophies, carbon and nitrogen utilization defects",YOL067C
"Auxotrophies, carbon and nitrogen utilization defects",YOL096C
"Auxotrophies, carbon and nitrogen utilization defects",YOL108C
"Auxotrophies, carbon and nitrogen utilization defects",YOL109W
"Auxotrophies, carbon and nitrogen utilization defects",YOL116W
"Auxotrophies, carbon and nitrogen utilization defects",YOL143C
"Auxotrophies, carbon and nitrogen utilization defects",YOL147C
"Auxotrophies, carbon and nitrogen utilization defects",YOL148C
"Auxotrophies, carbon and nitrogen utilization defects",YOR017W
"Auxotrophies, carbon and nitrogen utilization defects",YOR125C
"Auxotrophies, carbon and nitrogen utilization defects",YOR136W
"Auxotrophies, carbon and nitrogen utilization defects",YOR158W
"Auxotrophies, carbon and nitrogen utilization defects",YOR178C
"Auxotrophies, carbon and nitrogen utilization defects",YOR184W
"Auxotrophies, carbon and nitrogen utilization defects",YOR196C
"Auxotrophies, carbon and nitrogen utilization defects",YOR201C
"Auxotrophies, carbon and nitrogen utilization defects",YOR221C
"Auxotrophies, carbon and nitrogen utilization defects",YOR231W
"Auxotrophies, carbon and nitrogen utilization defects",YOR278W
"Auxotrophies, carbon and nitrogen utilization defects",YOR330C
"Auxotrophies, carbon and nitrogen utilization defects",YOR332W
"Auxotrophies, carbon and nitrogen utilization defects",YOR334W
"Auxotrophies, carbon and nitrogen utilization defects",YOR355W
"Auxotrophies, carbon and nitrogen utilization defects",YOR358W
"Auxotrophies, carbon and nitrogen utilization defects",YPL002C
"Auxotrophies, carbon and nitrogen utilization defects",YPL029W
"Auxotrophies, carbon and nitrogen utilization defects",YPL031C
"Auxotrophies, carbon and nitrogen utilization defects",YPL040C
"Auxotrophies, carbon and nitrogen utilization defects",YPL042C
"Auxotrophies, carbon and nitrogen utilization defects",YPL078C
"Auxotrophies, carbon and nitrogen utilization defects",YPL097W
"Auxotrophies, carbon and nitrogen utilization defects",YPL104W
"Auxotrophies, carbon and nitrogen utilization defects",YPL118W
"Auxotrophies, carbon and nitrogen utilization defects",YPL140C
"Auxotrophies, carbon and nitrogen utilization defects",YPL148C
"Auxotrophies, carbon and nitrogen utilization defects",YPL179W
"Auxotrophies, carbon and nitrogen utilization defects",YPL214C
"Auxotrophies, carbon and nitrogen utilization defects",YPL254W
"Auxotrophies, carbon and nitrogen utilization defects",YPL268W
"Auxotrophies, carbon and nitrogen utilization defects",YPL271W
"Auxotrophies, carbon and nitrogen utilization defects",YPR024W
"Auxotrophies, carbon and nitrogen utilization defects",YPR026W
"Auxotrophies, carbon and nitrogen utilization defects",YPR035W
"Auxotrophies, carbon and nitrogen utilization defects",YPR051W
"Auxotrophies, carbon and nitrogen utilization defects",YPR088C
"Auxotrophies, carbon and nitrogen utilization defects",YPR160W
"Auxotrophies, carbon and nitrogen utilization defects",YPR166C
"Auxotrophies, carbon and nitrogen utilization defects",YPR191W
"Auxotrophies, carbon and nitrogen utilization defects",YPR198W
"Auxotrophies, carbon and nitrogen utilization defects",YDL045W-A
"Auxotrophies, carbon and nitrogen utilization defects",YDR322C-A
"Auxotrophies, carbon and nitrogen utilization defects",YEL059C-A
"Auxotrophies, carbon and nitrogen utilization defects",YML081C-A
"Auxotrophies, carbon and nitrogen utilization defects",YPR133W-A
Cell morphology and organelle mutants,YAL002W
Cell morphology and organelle mutants,YAL009W
Cell morphology and organelle mutants,YAL010C
Cell morphology and organelle mutants,YAL013W
Cell morphology and organelle mutants,YAL020C
Cell morphology and organelle mutants,YAL023C
Cell morphology and organelle mutants,YAL041W
Cell morphology and organelle mutants,YAL047C
Cell morphology and organelle mutants,YAL054C
Cell morphology and organelle mutants,YAL058W
Cell morphology and organelle mutants,YAL059W
Cell morphology and organelle mutants,YAL062W
Cell morphology and organelle mutants,YAR050W
Cell morphology and organelle mutants,YBL001C
Cell morphology and organelle mutants,YBL002W
Cell morphology and organelle mutants,YBL003C
Cell morphology and organelle mutants,YBL007C
Cell morphology and organelle mutants,YBL022C
Cell morphology and organelle mutants,YBL039C
Cell morphology and organelle mutants,YBL040C
Cell morphology and organelle mutants,YBL043W
Cell morphology and organelle mutants,YBL050W
Cell morphology and organelle mutants,YBL061C
Cell morphology and organelle mutants,YBL082C
Cell morphology and organelle mutants,YBL101C
Cell morphology and organelle mutants,YBL105C
Cell morphology and organelle mutants,YBR009C
Cell morphology and organelle mutants,YBR010W
Cell morphology and organelle mutants,YBR023C
Cell morphology and organelle mutants,YBR024W
Cell morphology and organelle mutants,YBR026C
Cell morphology and organelle mutants,YBR038W
Cell morphology and organelle mutants,YBR065C
Cell morphology and organelle mutants,YBR070C
Cell morphology and organelle mutants,YBR076W
Cell morphology and organelle mutants,YBR078W
Cell morphology and organelle mutants,YBR080C
Cell morphology and organelle mutants,YBR083W
Cell morphology and organelle mutants,YBR091C
Cell morphology and organelle mutants,YBR097W
Cell morphology and organelle mutants,YBR107C
Cell morphology and organelle mutants,YBR109C
Cell morphology and organelle mutants,YBR123C
Cell morphology and organelle mutants,YBR126C
Cell morphology and organelle mutants,YBR133C
Cell morphology and organelle mutants,YBR143C
Cell morphology and organelle mutants,YBR171W
Cell morphology and organelle mutants,YBR176W
Cell morphology and organelle mutants,YBR179C
Cell morphology and organelle mutants,YBR200W
Cell morphology and organelle mutants,YBR201W
Cell morphology and organelle mutants,YBR211C
Cell morphology and organelle mutants,YBR217W
Cell morphology and organelle mutants,YBR279W
Cell morphology and organelle mutants,YCL004W
Cell morphology and organelle mutants,YCL007C
Cell morphology and organelle mutants,YCL008C
Cell morphology and organelle mutants,YCL014W
Cell morphology and organelle mutants,YCL029C
Cell morphology and organelle mutants,YCL051W
Cell morphology and organelle mutants,YCR002C
Cell morphology and organelle mutants,YCR008W
Cell morphology and organelle mutants,YCR009C
Cell morphology and organelle mutants,YCR032W
Cell morphology and organelle mutants,YCR034W
Cell morphology and organelle mutants,YCR038C
Cell morphology and organelle mutants,YCR044C
Cell morphology and organelle mutants,YCR057C
Cell morphology and organelle mutants,YCR067C
Cell morphology and organelle mutants,YCR084C
Cell morphology and organelle mutants,YDL003W
Cell morphology and organelle mutants,YDL006W
Cell morphology and organelle mutants,YDL022W
Cell morphology and organelle mutants,YDL028C
Cell morphology and organelle mutants,YDL029W
Cell morphology and organelle mutants,YDL055C
Cell morphology and organelle mutants,YDL058W
Cell morphology and organelle mutants,YDL077C
Cell morphology and organelle mutants,YDL095W
Cell morphology and organelle mutants,YDL116W
Cell morphology and organelle mutants,YDL126C
Cell morphology and organelle mutants,YDL138W
Cell morphology and organelle mutants,YDL145C
Cell morphology and organelle mutants,YDL188C
Cell morphology and organelle mutants,YDL192W
Cell morphology and organelle mutants,YDL194W
Cell morphology and organelle mutants,YDL195W
Cell morphology and organelle mutants,YDL212W
Cell morphology and organelle mutants,YDL225W
Cell morphology and organelle mutants,YDL232W
Cell morphology and organelle mutants,YDR027C
Cell morphology and organelle mutants,YDR028C
Cell morphology and organelle mutants,YDR054C
Cell morphology and organelle mutants,YDR080W
Cell morphology and organelle mutants,YDR125C
Cell morphology and organelle mutants,YDR129C
Cell morphology and organelle mutants,YDR142C
Cell morphology and organelle mutants,YDR159W
Cell morphology and organelle mutants,YDR164C
Cell morphology and organelle mutants,YDR166C
Cell morphology and organelle mutants,YDR170C
Cell morphology and organelle mutants,YDR172W
Cell morphology and organelle mutants,YDR182W
Cell morphology and organelle mutants,YDR189W
Cell morphology and organelle mutants,YDR195W
Cell morphology and organelle mutants,YDR208W
Cell morphology and organelle mutants,YDR212W
Cell morphology and organelle mutants,YDR238C
Cell morphology and organelle mutants,YDR245W
Cell morphology and organelle mutants,YDR254W
Cell morphology and organelle mutants,YDR264C
Cell morphology and organelle mutants,YDR265W
Cell morphology and organelle mutants,YDR284C
Cell morphology and organelle mutants,YDR297W
Cell morphology and organelle mutants,YDR323C
Cell morphology and organelle mutants,YDR329C
Cell morphology and organelle mutants,YDR337W
Cell morphology and organelle mutants,YDR347W
Cell morphology and organelle mutants,YDR356W
Cell morphology and organelle mutants,YDR376W
Cell morphology and organelle mutants,YDR388W
Cell morphology and organelle mutants,YDR390C
Cell morphology and organelle mutants,YDR402C
Cell morphology and organelle mutants,YDR414C
Cell morphology and organelle mutants,YDR420W
Cell morphology and organelle mutants,YDR432W
Cell morphology and organelle mutants,YDR436W
Cell morphology and organelle mutants,YDR446W
Cell morphology and organelle mutants,YDR468C
Cell morphology and organelle mutants,YDR483W
Cell morphology and organelle mutants,YDR495C
Cell morphology and organelle mutants,YDR498C
Cell morphology and organelle mutants,YDR507C
Cell morphology and organelle mutants,YDR523C
Cell morphology and organelle mutants,YEL003W
Cell morphology and organelle mutants,YEL013W
Cell morphology and organelle mutants,YEL027W
Cell morphology and organelle mutants,YEL030W
Cell morphology and organelle mutants,YEL036C
Cell morphology and organelle mutants,YEL037C
Cell morphology and organelle mutants,YEL050C
Cell morphology and organelle mutants,YER007W
Cell morphology and organelle mutants,YER008C
Cell morphology and organelle mutants,YER013W
Cell morphology and organelle mutants,YER014W
Cell morphology and organelle mutants,YER015W
Cell morphology and organelle mutants,YER016W
Cell morphology and organelle mutants,YER020W
Cell morphology and organelle mutants,YER031C
Cell morphology and organelle mutants,YER107C
Cell morphology and organelle mutants,YER109C
Cell morphology and organelle mutants,YER111C
Cell morphology and organelle mutants,YER125W
Cell morphology and organelle mutants,YER133W
Cell morphology and organelle mutants,YER149C
Cell morphology and organelle mutants,YER155C
Cell morphology and organelle mutants,YER176W
Cell morphology and organelle mutants,YFL009W
Cell morphology and organelle mutants,YFL025C
Cell morphology and organelle mutants,YFL029C
Cell morphology and organelle mutants,YFL036W
Cell morphology and organelle mutants,YFL037W
Cell morphology and organelle mutants,YFL038C
Cell morphology and organelle mutants,YFL039C
Cell morphology and organelle mutants,YFL045C
Cell morphology and organelle mutants,YFR019W
Cell morphology and organelle mutants,YFR033C
Cell morphology and organelle mutants,YFR051C
Cell morphology and organelle mutants,YGL027C
Cell morphology and organelle mutants,YGL028C
Cell morphology and organelle mutants,YGL055W
Cell morphology and organelle mutants,YGL061C
Cell morphology and organelle mutants,YGL071W
Cell morphology and organelle mutants,YGL073W
Cell morphology and organelle mutants,YGL092W
Cell morphology and organelle mutants,YGL095C
Cell morphology and organelle mutants,YGL097W
Cell morphology and organelle mutants,YGL106W
Cell morphology and organelle mutants,YGL137W
Cell morphology and organelle mutants,YGL145W
Cell morphology and organelle mutants,YGL155W
Cell morphology and organelle mutants,YGL167C
Cell morphology and organelle mutants,YGL173C
Cell morphology and organelle mutants,YGL180W
Cell morphology and organelle mutants,YGL181W
Cell morphology and organelle mutants,YGL190C
Cell morphology and organelle mutants,YGL200C
Cell morphology and organelle mutants,YGL210W
Cell morphology and organelle mutants,YGL212W
Cell morphology and organelle mutants,YGL216W
Cell morphology and organelle mutants,YGR008C
Cell morphology and organelle mutants,YGR009C
Cell morphology and organelle mutants,YGR036C
Cell morphology and organelle mutants,YGR041W
Cell morphology and organelle mutants,YGR078C
Cell morphology and organelle mutants,YGR080W
Cell morphology and organelle mutants,YGR098C
Cell morphology and organelle mutants,YGR099W
Cell morphology and organelle mutants,YGR105W
Cell morphology and organelle mutants,YGR113W
Cell morphology and organelle mutants,YGR120C
Cell morphology and organelle mutants,YGR152C
Cell morphology and organelle mutants,YGR155W
Cell morphology and organelle mutants,YGR166W
Cell morphology and organelle mutants,YGR172C
Cell morphology and organelle mutants,YGR180C
Cell morphology and organelle mutants,YGR188C
Cell morphology and organelle mutants,YGR195W
Cell morphology and organelle mutants,YGR214W
Cell morphology and organelle mutants,YGR216C
Cell morphology and organelle mutants,YGR229C
Cell morphology and organelle mutants,YGR253C
Cell morphology and organelle mutants,YHL007C
Cell morphology and organelle mutants,YHL027W
Cell morphology and organelle mutants,YHL030W
Cell morphology and organelle mutants,YHL031C
Cell morphology and organelle mutants,YHL043W
Cell morphology and organelle mutants,YHR004C
Cell morphology and organelle mutants,YHR023W
Cell morphology and organelle mutants,YHR030C
Cell morphology and organelle mutants,YHR041C
Cell morphology and organelle mutants,YHR084W
Cell morphology and organelle mutants,YHR101C
Cell morphology and organelle mutants,YHR102W
Cell morphology and organelle mutants,YHR107C
Cell morphology and organelle mutants,YHR119W
Cell morphology and organelle mutants,YHR129C
Cell morphology and organelle mutants,YHR132C
Cell morphology and organelle mutants,YHR135C
Cell morphology and organelle mutants,YHR158C
